index, T_sto_HT [K], T_sto_LT [K], glide [K], W_dot_exp [W], p_ev [Pa], p_cd [Pa], rp_exp [-], Q_dot_cd [W], Q_dot_ev [W], eta_ORC [-], m_dot_w_cd [kg/s], m_dot_w_ev [kg/s], T_tap [K], Nb_exp [-], m_dot_r [kg/s]
52,50.0,338.15,15.0,-357.887563217968,200742.0333146734,115214.64327588287,1.7423309017586779,9870.354612214103,9701.84527870573,-0.03688860757277628,0.15741599543483248,0.15475378599537948,20.0,1.0,0.045431386872464244
53,50.0,338.15,15.0,-723.6036338680792,200191.74862053638,115257.91268923019,1.736902429946942,19691.32245026762,19381.5905876358,-0.037334584620195795,0.31404435268226044,0.3091550561656846,20.0,2.0,0.09062396566427618
54,50.0,338.15,15.0,-1088.313214486148,200001.91647684516,115238.70071959794,1.7355447018054766,29510.48258003902,29060.292860455535,-0.03745018055090199,0.47064387994233087,0.4635396889044117,20.0,3.0,0.13581236940996397
55,50.0,340.15,17.0,-317.30931254254807,190924.8338099995,106096.68699663616,1.7995362458024051,9339.15981683857,9209.429878486168,-0.034454826925150214,0.13143000604019933,0.12962128469990208,20.0,1.0,0.04329976368163479
56,50.0,340.15,17.0,-824.4518699048651,190565.28483241386,114401.00418264086,1.665765840028615,18798.743538506467,18390.828445862368,-0.04482951229368643,0.26455473782120525,0.25884803308150456,20.0,2.0,0.08644325030568804
57,50.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
58,50.0,342.15,19.0,-429.38429687069413,179669.9449984322,114988.48761630508,1.5625037664462287,9336.489861444174,9104.492484470878,-0.04716180474673086,0.11756817655335124,0.11465862589982653,20.0,1.0,0.0430508908766248
59,50.0,342.15,19.0,-858.6805547253308,179193.95796483452,114950.67331669343,1.5588769756149965,18667.615807302613,18225.90482891303,-0.047113192062933726,0.23506880890283577,0.22953033428591274,20.0,2.0,0.0860938936659966
60,50.0,342.15,19.0,-1288.1225671169561,178990.84204855,114980.53829240052,1.5567055495371616,28009.576336650767,27358.272726982086,-0.0470834756262425,0.35270587392064684,0.3445400128803302,20.0,3.0,0.12918903581672642
61,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
62,55.0,329.15,1.0,378.9343348897869,286426.54186437954,114268.58032270131,2.5066080374455852,26904.05628382309,27749.876998505748,0.013655351874539532,6.431139142177042,6.63467207774791,20.0,2.0,0.12788495591067087
63,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
64,55.0,331.15,3.0,426.2888411552068,326234.9108816877,115528.27241870845,2.823853452073761,15693.464628960219,16207.056331721344,0.026302669184955618,1.250641898464999,1.2917466813142515,20.0,1.0,0.0725072759177464
65,55.0,331.15,3.0,865.8458280157208,325852.07952565,114717.01788069945,2.8404859675181022,31334.370747070887,32511.723954038724,0.026631803014806367,2.497095309725708,2.5912732492473607,20.0,2.0,0.1448501621168137
66,55.0,331.15,3.0,1295.5764850153328,325689.1917475174,114720.22973764523,2.838986571874368,46978.61232168282,48808.66184452001,0.02654398699030905,3.743814529827844,3.8901837364288294,20.0,3.0,0.21717018362180973
67,55.0,333.15,5.0,220.62861113319263,254026.51987935198,93234.56226956463,2.724596047814299,12102.068043901207,12744.005444740835,0.017312344387316714,0.5787406329762762,0.609487604818998,20.0,1.0,0.05696045507795315
68,55.0,333.15,5.0,712.514317864185,313601.06438727636,114660.4346723238,2.735041649575849,30179.74645313607,31208.836314385175,0.022830531413815126,1.4432447001612712,1.492576174494063,20.0,2.0,0.1395813828370432
69,55.0,333.15,5.0,1067.3513566276774,313530.0216876329,114662.70852545051,2.734367831700416,45259.67133566918,46861.46100140475,0.022776740925676258,2.1643913042038783,2.2411697600028684,20.0,3.0,0.20932623312556287
70,55.0,335.15,7.0,200.84729918125487,288807.77452128433,114591.3980985807,2.520326824818288,13927.720737902335,14245.8792275109,0.014098624309083641,0.47580554082002624,0.4866906393305553,20.0,1.0,0.06445521666652926
71,55.0,335.15,7.0,397.5075587385588,288483.9913758733,114596.43753049997,2.517390571579443,27825.307421420508,28555.696269409844,0.013920429569927418,0.9505816274807415,0.9755656251142113,20.0,2.0,0.1287709910125125
72,55.0,335.15,7.0,587.0800354916906,288261.8045426001,114745.44644548093,2.51218513215304,41711.27707201857,42847.77292222606,0.013701529751786927,1.424960847436897,1.4638345351922717,20.0,3.0,0.19301289377207967
73,55.0,337.15,9.0,121.5747595012208,276279.275602318,114634.9696548045,2.4100784990327666,13344.165862789707,13592.558500500882,0.008944214549213882,0.35460425744788304,0.36120326376298695,20.0,1.0,0.06175649567166599
74,55.0,337.15,9.0,334.06794936829965,274474.136292669,109543.52797901948,2.505617094468951,26420.006128697318,27111.46937762433,0.012322015627969357,0.7020781029977874,0.72044944476401,20.0,2.0,0.12273632945359925
75,55.0,337.15,9.0,347.1849160219339,275528.7097457077,114736.20380497702,2.4014103709936045,39930.71451678559,40836.58726317649,0.008501810246396383,1.0611080165057225,1.085175289100858,20.0,3.0,0.184784222805375
76,55.0,339.15,11.0,43.210383186096635,263531.0789275314,114482.01277016595,2.301943096131584,12750.459513235553,12931.006280866966,0.003341610254263953,0.2772493095022977,0.2811655500310597,20.0,1.0,0.05900827492608962
77,55.0,339.15,11.0,73.11309203859548,262897.3102848151,114721.85113795748,2.2916062430745723,25446.821037082245,25873.96639766932,0.0028257396224021293,0.5533222982462764,0.5625910184924992,20.0,2.0,0.11774310435946148
78,55.0,339.15,11.0,-103.40621265902996,238936.41917511798,107624.51896082405,2.220092795602573,34643.24432859875,35468.46492644394,-0.0029154408817375745,0.7532917193339708,0.7712091567503553,20.0,3.0,0.1610984279328539
79,55.0,341.15,13.0,-38.91780289288607,250729.1432270748,114645.3623313554,2.1869976955753456,12159.381969294813,12268.429869660144,-0.0031721910062126116,0.22373958343419328,0.22573343374106983,20.0,1.0,0.05624583866104797
80,55.0,341.15,13.0,-86.70412461328976,250025.76186301917,114647.60840520773,2.1808196903622634,24253.798779865545,24532.710156908932,-0.00353422528773781,0.44628377078761805,0.4513905170855316,20.0,2.0,0.1121879584342255
81,55.0,341.15,13.0,-139.13035542679796,249878.52317462294,114835.9968561307,2.1759598907620994,36365.74607712887,36807.983616144134,-0.003779896146383167,0.669150529123672,0.6772498697086674,20.0,3.0,0.16818649426485058
82,55.0,343.15,15.0,-118.94227385540273,238003.9782659266,114671.39781319395,2.075530453144456,11572.616252630947,11611.719969531927,-0.010243295064598198,0.1845642815040236,0.18517466819352896,20.0,1.0,0.05349762784814013
83,55.0,343.15,15.0,-248.28269283022206,237278.3377537579,114730.03353286994,2.06814493509041,23079.541357381877,23207.63252703803,-0.01069832058659842,0.368080896754801,0.3700972520890761,20.0,2.0,0.10668172376203697
84,55.0,343.15,15.0,-376.9196206563322,237042.5946240506,114732.01784243964,2.0660544378255326,34586.813124341745,34803.95616758321,-0.010829792419041124,0.5516030407002245,0.555026391616826,20.0,3.0,0.15986979006428606
85,55.0,345.15,17.0,-201.04910890130458,225205.0440710881,114850.68307641702,1.9608507153696748,10986.013872081268,10953.609550482113,-0.018354598817378477,0.15460618491205255,0.15413768555942006,20.0,1.0,0.05073088193311831
86,55.0,345.15,17.0,-405.625672760077,224549.60687933076,114641.42052875969,1.9587127047418154,21907.91174209197,21889.776312474798,-0.018530370843895486,0.30831006525873994,0.30802991860064766,20.0,2.0,0.10117819080160298
87,55.0,345.15,17.0,-602.0457698486287,224189.1223745639,114248.48146413353,1.9622941110595373,32801.08117120349,32806.777382965025,-0.018351262082853707,0.46160965022608325,0.46165245466968363,20.0,3.0,0.15153332945827958
88,55.0,347.15,19.0,-282.7215462576366,212374.89049706716,114984.11718859152,1.8469932690681086,10399.48678286735,10296.233192286105,-0.027458735731573213,0.1309537863047892,0.12964256907863334,20.0,1.0,0.047953467180041995
89,55.0,347.15,19.0,-574.7503572990714,211683.38529005967,115014.1775061132,1.8404981879630302,20736.287012027635,20562.913596626844,-0.02795082295114803,0.26111820273683983,0.25891303126330634,20.0,2.0,0.0956073027109284
90,55.0,347.15,19.0,-842.0542295022356,210992.01357075185,114027.86666111572,1.8503548277177544,30981.887292232757,30768.26083761796,-0.02736762516237906,0.39013419916741904,0.3874112315228782,20.0,3.0,0.14296155589793358
91,60.0,334.15,1.0,285.4315895786587,332833.2176061369,131888.40318091155,2.523597295734857,15827.517100253219,16225.43169511004,0.017591617587880942,3.7834058802545236,3.877491717909873,20.0,1.0,0.0739234873465689
92,60.0,334.15,1.0,565.4770947121526,332197.3091732577,131769.77697112126,2.5210432681089094,31594.57523040426,32510.52242493651,0.01739366372895981,7.552359662839536,7.76924052415849,20.0,2.0,0.14757363308065236
93,60.0,334.15,1.0,840.8737956963295,332015.49743269366,131886.20733709898,2.517439117678678,47369.07553276945,48796.44216240118,0.017232276748738923,11.323092420480366,11.66118744348734,20.0,3.0,0.221243161804933
